epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,318.555,1.66966,1.58218,1.70917,0.94392,0.77193,0.82847,0.47564,1.53057,1.18377,1.4525,0.0006932,0.0006932,0.0006932
68,323.327,1.62334,1.59346,1.71251,0.93641,0.73684,0.82299,0.46617,1.55892,1.32818,1.48375,0.0006734,0.0006734,0.0006734
69,328.084,1.65404,1.5147,1.69514,0.94818,0.74899,0.81802,0.4648,1.55298,1.24615,1.45478,0.0006536,0.0006536,0.0006536
70,332.849,1.68084,1.58199,1.70868,0.91869,0.76023,0.82638,0.45931,1.55005,1.24052,1.43953,0.0006338,0.0006338,0.0006338
71,337.615,1.63963,1.55132,1.69211,0.95786,0.75439,0.835,0.49222,1.49163,1.13947,1.44701,0.000614,0.000614,0.000614
72,342.436,1.63861,1.52754,1.66445,0.90728,0.74395,0.80609,0.4788,1.52054,1.22148,1.45955,0.0005942,0.0005942,0.0005942
73,347.483,1.62439,1.47851,1.6295,0.93122,0.73099,0.81582,0.46408,1.50988,1.27554,1.44662,0.0005744,0.0005744,0.0005744
74,352.214,1.61442,1.50717,1.66591,0.91852,0.72519,0.81397,0.45352,1.5636,1.20605,1.48096,0.0005546,0.0005546,0.0005546
75,356.986,1.61672,1.5442,1.68505,0.92616,0.77193,0.82688,0.4597,1.58365,1.16956,1.49372,0.0005348,0.0005348,0.0005348
76,361.731,1.5899,1.54048,1.63702,0.92424,0.74269,0.81913,0.4691,1.54323,1.21886,1.43917,0.000515,0.000515,0.000515
77,366.499,1.54979,1.48634,1.62984,0.94961,0.75439,0.83239,0.46991,1.51504,1.1917,1.43042,0.0004952,0.0004952,0.0004952
78,371.289,1.60465,1.46803,1.63873,0.9299,0.77193,0.83874,0.47709,1.52978,1.1375,1.46315,0.0004754,0.0004754,0.0004754
79,376.079,1.58413,1.41247,1.60937,0.90731,0.78947,0.83463,0.48693,1.46589,1.14752,1.40703,0.0004556,0.0004556,0.0004556
80,380.861,1.5643,1.42933,1.63382,0.92517,0.77193,0.83661,0.47535,1.55734,1.19978,1.45979,0.0004358,0.0004358,0.0004358
81,385.59,1.58925,1.46651,1.62536,0.90339,0.76557,0.82605,0.4621,1.60133,1.21524,1.48089,0.000416,0.000416,0.000416
82,390.369,1.55523,1.34476,1.54397,0.91379,0.76608,0.83022,0.49425,1.50864,1.10801,1.42649,0.0003962,0.0003962,0.0003962
83,395.14,1.5478,1.42259,1.59435,0.91155,0.78348,0.84325,0.47594,1.58466,1.17297,1.47618,0.0003764,0.0003764,0.0003764
84,399.979,1.52708,1.39334,1.60763,0.90302,0.76231,0.82965,0.48308,1.49249,1.13054,1.42859,0.0003566,0.0003566,0.0003566
85,404.757,1.56155,1.4286,1.60957,0.96836,0.71345,0.82472,0.48163,1.54374,1.20209,1.44642,0.0003368,0.0003368,0.0003368
86,409.537,1.53557,1.3836,1.57968,0.92776,0.74854,0.82608,0.48692,1.52313,1.1712,1.44768,0.000317,0.000317,0.000317
87,414.356,1.56353,1.36099,1.59584,0.92144,0.75439,0.83172,0.48297,1.53306,1.12784,1.44429,0.0002972,0.0002972,0.0002972
88,419.139,1.56638,1.41735,1.61862,0.8652,0.79532,0.82793,0.48755,1.5381,1.15658,1.46375,0.0002774,0.0002774,0.0002774
89,423.944,1.53045,1.37643,1.61431,0.90102,0.75439,0.82937,0.48665,1.56805,1.1398,1.46457,0.0002576,0.0002576,0.0002576
90,428.766,1.52073,1.44452,1.60758,0.90971,0.76608,0.83834,0.48687,1.53083,1.1097,1.44573,0.0002378,0.0002378,0.0002378
91,435.401,1.48351,1.26485,1.57203,0.88542,0.78947,0.8384,0.48293,1.51549,1.19792,1.44387,0.000218,0.000218,0.000218
92,440.227,1.45489,1.21171,1.54583,0.88215,0.78796,0.83854,0.49236,1.48627,1.16567,1.41423,0.0001982,0.0001982,0.0001982
93,444.994,1.45337,1.20074,1.50498,0.88828,0.78947,0.83183,0.49735,1.46854,1.0988,1.41629,0.0001784,0.0001784,0.0001784
94,449.763,1.45584,1.22177,1.54205,0.91201,0.80117,0.84651,0.49808,1.47648,1.0883,1.40515,0.0001586,0.0001586,0.0001586
95,454.561,1.44369,1.1572,1.487,0.89042,0.79532,0.83892,0.49687,1.47168,1.09342,1.40327,0.0001388,0.0001388,0.0001388
96,459.272,1.41936,1.1094,1.47637,0.90083,0.79682,0.83986,0.49943,1.4647,1.12524,1.39943,0.000119,0.000119,0.000119
97,464.067,1.41404,1.13172,1.48806,0.89773,0.80117,0.84277,0.49938,1.46777,1.11491,1.39324,9.92e-05,9.92e-05,9.92e-05
98,468.821,1.40536,1.16802,1.49805,0.89777,0.80117,0.8385,0.49648,1.50365,1.14157,1.41616,7.94e-05,7.94e-05,7.94e-05
99,474.037,1.41921,1.16554,1.51967,0.89719,0.81652,0.84248,0.49919,1.48492,1.13197,1.40439,5.96e-05,5.96e-05,5.96e-05
100,478.773,1.43905,1.20884,1.54375,0.89051,0.80702,0.84109,0.49116,1.48885,1.13413,1.40305,3.98e-05,3.98e-05,3.98e-05
